policy_number,effective_date,expiration_date,state,county,zip,occupancy,construction,foundation,roof_type,roof_condition,year_built,stories,square_feet,protection_class,alarm_type,flood_zone,distance_to_coast_mi,wildfire_score_0_100,hail_score_0_100,hurricane_score_0_100,crime_index_0_100,prior_claims_5yr,covA_dwelling,covB_other_structures,covC_personal_property,covD_loss_of_use,deductible_all_peril,water_backup_limit,ordinance_or_law_pct,written_premium_total,premium_fire,premium_wind,premium_hail,premium_water,premium_theft_liability,expected_loss,expected_loss_ratio,expense_ratio,target_profit_ratio,indicated_premium,uw_tier
HO2026000001,2023-07-22,2024-07-16,FL,Marion,13942,TenantOccupied,MobileHome,Basement,AsphaltShingle,Poor,2005,2,2187,2,Fire,VE,25.9,16,46,6,58,0,237000,25000,170000,58000,5000,5000,25,2285.44,938.69,537.08,403.76,457.09,0.0,1299.5,0.569,0.262,0.071,1948.39,Standard
HO2026000002,2023-04-04,2024-03-29,NC,Greene,70155,OwnerOccupied,Masonry,Crawlspace,WoodShake,Good,1959,2,2757,2,Fire,X,35.2,49,44,67,46,0,562000,77000,377000,116000,1000,5000,25,3035.96,1189.42,1176.44,526.23,364.32,0.0,1649.54,0.543,0.266,0.09,2561.97,Preferred
HO2026000003,2024-09-05,2025-08-31,OH,Wayne,24514,SecondarySeasonal,Superior,Crawlspace,AsphaltShingle,New,1977,1,2056,4,Fire,AE,20.5,46,32,19,54,0,331000,31000,123000,63000,1000,0,25,1062.15,422.97,284.13,162.86,212.43,0.0,609.88,0.574,0.22,0.07,858.92,Preferred
HO2026000004,2024-05-28,2025-05-23,NJ,Union,48887,OwnerOccupied,Masonry,Piers,Metal,Good,1947,1,1452,6,Fire,X,3.1,47,23,14,30,0,288000,37000,131000,85000,5000,5000,25,1208.43,464.46,308.15,167.17,145.01,123.64,539.53,0.446,0.284,0.049,808.91,Preferred
HO2026000005,2023-10-19,2024-10-13,AZ,Franklin,56859,Vacant,Frame,Basement,AsphaltShingle,New,1948,1,1720,4,Fire,AE,163.5,7,21,22,57,0,262000,31000,128000,62000,1000,0,25,1717.74,619.46,472.38,231.9,343.55,50.45,625.52,0.364,0.293,0.044,943.65,Standard
HO2026000006,2025-05-04,2026-04-29,TX,Cleveland,90170,TenantOccupied,Frame,Basement,WoodShake,Fair,2002,2,2937,4,None,VE,11.8,17,68,8,58,1,492000,47000,179000,114000,2000,0,10,3924.28,1359.62,941.83,837.18,784.86,0.8,1948.98,0.497,0.289,0.092,3144.59,Standard
HO2026000007,2023-02-21,2024-02-16,TX,Marion,27979,Vacant,Frame,Piers,WoodShake,Poor,1960,1,3492,4,None,VE,37.6,16,64,27,44,0,624000,57000,368000,175000,1000,5000,25,9468.93,2812.17,2722.32,1956.91,1893.79,83.74,5815.38,0.614,0.238,0.036,8004.23,Standard
HO2026000008,2022-04-15,2023-04-10,MA,Washington,81712,TenantOccupied,Frame,Slab,Tile,Good,1982,2,3203,5,BurglarAndFire,VE,146.8,12,41,21,82,0,575000,83000,206000,134000,2500,0,25,1912.53,735.48,521.16,321.94,382.51,0.0,1258.2,0.658,0.34,0.045,2048.23,Preferred
HO2026000009,2022-01-01,2022-06-30,TN,Lake,25717,TenantOccupied,Masonry,Piers,AsphaltShingle,Fair,2014,1,3796,5,None,AE,21.7,26,46,44,30,1,531000,70000,359000,88000,1000,5000,25,2644.43,1089.43,872.66,467.18,528.89,0.0,1282.58,0.485,0.268,0.055,1893.85,Standard
HO2026000010,2022-08-29,2023-08-24,MA,Clay,56279,Vacant,Masonry,Basement,FlatMembrane,Poor,1943,1,4310,9,BurglarAndFire,AE,,38,19,35,48,2,1113000,133000,574000,175000,2000,0,10,12662.14,5357.96,3893.61,1667.18,2532.43,0.0,8166.31,0.645,0.275,0.055,12184.63,NonStandard
